,ï..Subject,male.Entries,male.percentage,male.A,male.B,male.C,male.D,male.E,female.Entries,female.percentage,female.A,female.B,female.C,female.D,female.E,all.Entries,all.A,all.B,all.C,all.D,all.E,Year
239,Spanish,10,0.227272727,1,5,2,1,1,34,0.772727273,3,15,13,3,-,44,4,20,15,4,1,1994
240,Accounting and Finance,10,0.476190476,2,2,3,3,-,11,0.523809524,1,4,4,2,-,21,3,6,7,5,-,1994
241,Mathematics I,1554,0.669827586,227,329,401,364,177,766,0.330172414,109,158,218,191,73,2320,336,487,619,555,250,1994
242,Mathematics II,198,0.72,38,34,36,49,39,77,0.28,14,21,27,7,8,275,52,55,63,56,47,1994
243,Mathematics III,149,0.603238866,28,35,39,28,19,98,0.396761134,17,15,22,23,21,247,45,50,61,51,40,1994
244,Mathematics IV,87,0.776785714,14,21,21,18,13,25,0.223214286,7,5,6,5,2,112,21,26,27,23,15,1994
245,Mathematics V,128,0.805031447,28,25,29,26,18,31,0.194968553,2,6,8,6,9,159,30,31,37,32,27,1994
246,Biology,274,0.277890467,34,58,100,46,36,712,0.722109533,103,190,255,102,62,986,137,248,355,148,98,1994
247,Chemistry,990,0.537167661,176,286,342,129,57,853,0.462832339,160,266,303,100,24,1843,336,552,645,229,81,1994
248,Physics,879,0.812384473,92,138,170,259,216,203,0.187615527,24,43,45,68,23,1082,116,181,215,327,239,1994
249,Economics,38,0.633333333,12,10,10,5,1,22,0.366666667,3,8,7,4,-,60,15,18,17,9,1,1994
250,Geography,179,0.504225352,3,58,94,14,-,176,0.495774648,21,67,76,9,-,355,24,125,170,23,-,1994
251,History,268,0.424722662,30,85,117,30,6,363,0.575277338,33,137,147,39,7,631,63,222,264,69,13,1994
252,Modern Studies,120,0.431654676,9,46,53,10,1,158,0.568345324,21,61,66,10,-,278,30,107,119,20,1,1994
253,Computing Studies,158,0.858695652,17,42,55,35,9,26,0.141304348,6,4,11,1,4,184,23,46,66,36,13,1994
254,Engineering,-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,1994
255,Management and Information Studies,1,0.333333333,-,1,-,-,-,2,0.666666667,1,1,-,-,-,3,1,2,-,-,-,1994
256,Secretarial Studies (Audio-typewriting),-,0,-,-,-,-,-,2,1,-,-,-,2,-,2,-,-,-,2,-,1994
257,Secretarial Studies (Word Processing),-,0,-,-,-,-,-,32,1,-,7,17,7,1,32,-,7,17,7,1,1994
258,Technological Studies,27,0.931034483,8,8,8,3,-,2,0.068965517,-,2,-,-,-,29,8,10,8,3,-,1994
259,Art and Design (Enquiry),260,0.371428571,30,37,75,81,37,440,0.628571429,47,83,120,117,72,700,77,120,195,198,109,1994
260,Art and Design (Research and Appreciation),14,0.208955224,2,4,4,4,-,53,0.791044776,4,22,17,9,1,67,6,26,21,13,1,1994
261,Music,59,0.292079208,20,18,17,4,-,143,0.707920792,45,40,41,12,5,202,65,58,58,16,5,1994
262,Religious Studies,1,0.333333333,-,-,1,-,-,2,0.666666667,1,1,-,-,-,3,1,1,1,-,-,1994
263,Classical Greek,-,0,-,-,-,-,-,2,1,2,-,-,-,-,2,2,-,-,-,-,1995
264,English,505,0.31661442,45,146,199,74,36,1090,0.68338558,132,314,437,155,51,1595,177,460,636,229,87,1995
265,French,88,0.193832599,11,20,40,15,2,366,0.806167401,45,124,147,37,13,454,56,144,187,52,15,1995
266,Gaidhlig,2,0.111111111,1,-,-,1,-,16,0.888888889,4,7,5,-,-,18,5,7,5,1,-,1995
267,German,40,0.201005025,7,19,13,1,-,159,0.798994975,35,52,67,4,1,199,42,71,80,5,1,1995
268,Italian,2,0.222222222,1,-,1,-,-,7,0.777777778,5,1,1,-,-,9,6,1,2,-,-,1995
269,Latin,10,0.303030303,3,2,4,1,-,23,0.696969697,10,10,2,1,-,33,13,12,6,2,-,1995
270,Russian,1,0.333333333,1,-,-,-,-,2,0.666666667,2,-,-,-,-,3,3,-,-,-,-,1995
271,Spanish,12,0.324324324,2,3,6,1,-,25,0.675675676,4,12,6,3,-,37,6,15,12,4,-,1995
272,Accounting and Finance,26,0.684210526,1,6,11,8,-,12,0.315789474,-,4,3,5,-,38,1,10,14,13,-,1995
273,Mathematics I,1465,0.634199134,222,297,396,307,161,845,0.365800866,121,206,246,181,63,2310,343,503,642,488,224,1995
274,Mathematics II,199,0.734317343,40,42,49,32,35,72,0.265682657,15,17,17,14,7,271,55,59,66,46,42,1995
275,Mathematics III,184,0.549253731,37,43,39,33,30,151,0.450746269,21,33,46,29,22,335,58,76,85,62,52,1995
276,Mathematics IV,65,0.78313253,13,12,17,12,10,18,0.21686747,3,7,6,2,-,83,16,19,23,14,10,1995
277,Mathematics V,119,0.85,23,24,29,18,22,21,0.15,4,5,6,1,5,140,27,29,35,19,27,1995
278,Biology,294,0.277097078,50,68,77,48,51,767,0.722902922,132,220,276,96,43,1061,182,288,353,144,94,1995
279,Chemistry,962,0.506849315,183,293,288,129,69,936,0.493150685,174,269,326,131,36,1898,357,562,614,260,105,1995
280,Physics,820,0.798442064,110,134,281,165,129,207,0.201557936,36,43,71,39,18,1027,146,177,352,204,147,1995
281,Classical Studies,2,0.666666667,-,-,1,1,-,1,0.333333333,-,-,1,-,-,3,-,-,2,1,-,1995
282,Economics,32,0.780487805,5,11,9,6,1,9,0.219512195,1,2,4,2,-,41,6,13,13,8,1,1995
283,Geography,191,0.498694517,10,51,107,23,-,192,0.501305483,21,50,96,25,-,383,31,101,203,48,-,1995
284,History,253,0.416118421,31,89,90,39,4,355,0.583881579,26,137,141,42,9,608,57,226,231,81,13,1995
285,Modern Studies,99,0.365313653,14,37,42,5,1,172,0.634686347,20,80,62,7,3,271,34,117,104,12,4,1995
286,Computing Studies,169,0.85786802,13,46,68,34,5,28,0.14213198,4,5,14,4,1,197,17,51,82,38,6,1995
287,Engineering,5,0.833333333,4,1,-,-,-,1,0.166666667,-,1,-,-,-,6,4,2,-,-,-,1995
288,Management and Information Studies,-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,1995
289,Secretarial Studies (Audio-typewriting),-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,1995
290,Sectretarial Studies (Word Processing),-,0,-,-,-,-,-,13,1,2,7,1,3,-,13,2,7,1,3,-,1995
291,Technological Studies,14,0.933333333,3,6,5,-,-,1,0.066666667,-,1,-,-,-,15,3,7,5,-,-,1995
292,Art and Design (Enquiry),256,0.35605007,41,28,74,84,29,463,0.64394993,65,94,163,103,38,719,106,122,237,187,67,1995
293,Art and Design (Research and Appreciation),9,0.18,1,2,5,1,-,41,0.82,5,14,20,2,-,50,6,16,25,3,-,1995
294,Music,97,0.360594796,31,30,29,6,-,172,0.639405204,64,49,46,11,2,269,95,79,75,17,2,1995
295,Religious Studies,2,0.5,-,-,1,1,-,2,0.5,-,-,1,1,-,4,-,-,2,2,-,1995
296,Classical Greek,1,1,1,-,-,-,-,-,0,-,-,-,-,-,1,1,-,-,-,-,1996
297,English,512,0.335078534,51,151,212,71,23,1016,0.664921466,114,294,438,131,35,1528,165,445,650,202,58,1996
298,French,103,0.203557312,18,34,35,11,5,403,0.796442688,43,124,176,39,21,506,61,158,211,50,26,1996
299,Gaidhlig,6,0.352941176,4,1,1,-,-,11,0.647058824,7,3,1,-,-,17,11,4,2,-,-,1996
300,German,33,0.165,11,6,14,1,1,167,0.835,29,58,73,5,2,200,40,64,87,6,3,1996
301,Italian,1,0.25,-,1,-,-,-,3,0.75,-,-,2,1,-,4,-,1,2,1,-,1996
302,Latin,21,0.7,6,10,5,-,-,9,0.3,4,2,2,1,-,30,10,12,7,1,-,1996
303,Russian,-,0,-,-,-,-,-,3,1,3,-,-,-,-,3,3,-,-,-,-,1996
304,Spanish,9,0.157894737,3,2,3,1,-,48,0.842105263,9,15,20,3,1,57,12,17,23,4,1,1996
305,Accounting and Finance,22,0.733333333,1,6,7,7,1,8,0.266666667,1,-,2,5,-,30,2,6,9,12,1,1996
306,Mathematics I,1479,0.644163763,227,319,417,269,152,817,0.355836237,130,211,245,148,62,2296,357,530,662,417,214,1996
307,Mathematics II,189,0.756,44,34,50,26,35,61,0.244,11,19,18,6,7,250,55,53,68,32,42,1996
308,Mathematics III,238,0.562647754,47,56,59,37,39,185,0.437352246,41,41,50,28,25,423,88,97,109,65,64,1996
309,Mathematics IV,52,0.8,12,9,13,5,9,13,0.2,4,5,3,1,-,65,16,14,16,6,9,1996
310,Mathematics V,113,0.824817518,24,22,31,20,16,24,0.175182482,9,4,4,2,5,137,33,26,35,22,21,1996
311,Biology,330,0.302197802,58,81,108,45,38,762,0.697802198,127,220,277,88,50,1092,185,301,385,133,88,1996
312,Chemistry,973,0.517278044,191,246,314,147,75,908,0.482721956,161,265,329,114,39,1881,352,511,643,261,114,1996
313,Physics,784,0.773175542,103,110,240,152,172,230,0.226824458,34,42,77,47,29,1014,137,152,317,199,201,1996
314,Classical Studies,2,0.666666667,1,-,1,-,-,1,0.333333333,1,-,-,-,-,3,2,-,1,-,-,1996
315,Economics,27,0.658536585,4,8,9,6,-,14,0.341463415,4,3,4,3,-,41,8,11,13,9,-,1996
316,Geography,192,0.54084507,14,77,79,21,1,163,0.45915493,8,60,82,13,-,355,22,137,161,34,1,1996
317,History,242,0.421602787,30,91,97,22,2,332,0.578397213,30,113,140,44,5,574,60,204,237,66,7,1996
318,Modern Studies,132,0.389380531,7,51,59,13,2,207,0.610619469,40,83,75,9,-,339,47,134,134,22,2,1996
319,Computing Studies,208,0.852459016,28,50,84,36,10,36,0.147540984,8,10,12,6,-,244,36,60,96,42,10,1996
320,Management and Information Studies,-,0,-,-,-,-,-,4,1,-,2,1,1,-,4,-,2,1,1,-,1996
321,Technological Studies,20,0.909090909,9,5,6,-,-,2,0.090909091,1,1,-,-,-,22,10,6,6,-,-,1996
322,Art and Design (Enquiry),263,0.334180432,31,39,97,66,30,524,0.665819568,63,116,183,123,39,787,94,155,280,189,69,1996
323,Art and Design (Research and Appreciation),10,0.204081633,-,1,5,4,-,39,0.795918367,6,8,22,3,-,49,6,9,27,7,-,1996
324,Music,90,0.290322581,35,19,29,4,2,220,0.709677419,61,67,80,11,1,310,96,86,109,15,3,1996
325,Religious Studies,2,0.181818182,1,-,1,-,-,9,0.818181818,2,1,4,2,-,11,3,1,5,2,-,1996
326,Classical Greek,1,0.25,-,-,-,1,-,3,0.75,2,1,-,-,-,4,2,1,-,1,-,1997
327,English,543,0.325344518,74,174,206,73,16,-,0.674655482,138,399,479,98,12,1669,212,573,685,171,28,1997
328,French,72,0.176904177,13,22,26,8,3,-,0.823095823,42,105,145,31,12,407,55,127,171,39,15,1997
329,Gaidhlig,-,0,-,-,-,-,-,18,1,3,12,2,1,-,18,3,12,2,1,-,1997
330,German,40,0.202020202,12,9,18,1,-,158,0.797979798,33,56,68,1,-,198,45,65,86,2,-,1997
331,Italian,1,0.1,1,-,-,-,-,9,0.9,4,2,3,-,-,10,5,2,3,-,-,1997
332,Latin,14,0.4375,5,1,5,3,-,18,0.5625,8,2,3,2,2,32,13,3,8,5,2,1997
333,Russian,-,0,-,-,-,-,-,3,1,3,-,-,-,-,3,3,-,-,-,-,1997
334,Spanish,7,0.134615385,3,1,3,-,-,-,0.865384615,12,14,12,3,4,52,15,15,15,3,4,1997
335,Accounting and Finance,14,0.636363636,2,3,7,2,-,8,0.363636364,1,4,2,1,-,22,3,7,9,3,-,1997
336,Mathematics I,1504,0.630872483,248,332,415,242,186,-,0.369127517,102,215,275,165,89,2384,350,547,690,407,275,1997
337,Mathematics II,165,0.723684211,40,28,42,26,28,-,0.276315789,15,18,20,5,5,228,55,46,62,31,33,1997
338,Mathematics III,240,0.581113801,52,57,61,38,31,-,0.418886199,39,40,53,19,22,413,91,97,114,57,53,1997
339,Mathematics IV,30,0.652173913,8,6,8,3,5,16,0.347826087,3,5,6,2,-,46,11,11,14,5,5,1997
340,Mathematics V,126,0.857142857,27,25,32,17,24,21,0.142857143,7,5,4,4,1,147,34,30,36,21,25,1997
341,Biology,358,0.293442623,55,81,125,50,47,862,0.706557377,142,266,298,100,56,1220,197,347,423,150,103,1997
342,Chemistry,995,0.516346653,189,255,319,151,81,-,0.483653347,167,280,334,116,35,1927,356,535,653,267,116,1997
343,Physics,910,0.777777778,91,127,325,199,163,-,0.222222222,35,46,111,49,19,1170,126,173,436,248,182,1997
344,Classical Studies,2,0.666666667,-,-,1,1,-,1,0.333333333,-,1,-,-,-,3,-,1,1,1,-,1997
345,Economics,28,0.717948718,7,8,10,3,-,11,0.282051282,-,4,5,2,-,39,7,12,15,5,-,1997
346,Geography,260,0.531697342,13,85,123,39,-,-,0.468302658,21,106,92,10,-,489,34,191,215,49,-,1997
347,History,262,0.42601626,29,92,100,35,6,-,0.57398374,46,118,124,55,10,615,75,210,224,90,16,1997
348,Modern Studies,108,0.324324324,6,54,38,8,2,-,0.675675676,33,112,69,11,-,333,39,166,107,19,2,1997
349,Computing Studies,228,0.870229008,25,58,96,45,3,34,0.129770992,9,10,11,3,1,262,34,68,107,48,4,1997
350,Management and Information Studies,1,0.333333333,-,1,-,-,-,2,0.666666667,1,1,-,-,-,3,1,2,-,-,-,1997
351,Technological Studies,29,0.966666667,13,6,8,1,-,1,0.033333333,1,-,-,-,-,30,14,6,8,1,-,1997
352,Art and Design (Enquiry),341,0.383146067,34,52,124,105,26,-,0.616853933,57,93,194,157,48,890,91,145,318,262,74,1997
353,Art and Design (Research and Appreciation),7,0.175,1,2,4,-,-,-,0.825,2,14,17,-,-,40,3,16,21,-,-,1997
354,Music,121,0.320954907,44,36,34,7,-,256,0.679045093,94,78,73,8,3,377,138,114,107,15,3,1997
355,Religious Studies,3,0.230769231,1,-,1,1,-,10,0.769230769,1,3,4,2,-,13,2,3,5,3,-,1997
356,Classical Greek,-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,1998
357,English,437,0.299725652,55,132,182,51,16,1021,0.700274348,126,345,432,98,17,1458,181,477,614,149,33,1998
358,French,72,0.219512195,17,14,33,5,3,256,0.780487805,31,81,109,27,8,328,48,95,142,32,11,1998
359,Gaidhlig,3,0.176470588,2,-,-,1,-,14,0.823529412,2,5,6,1,-,17,4,5,6,2,-,1998
360,German,40,0.225988701,11,11,16,2,-,137,0.774011299,27,47,58,5,-,177,38,58,74,7,-,1998
361,Italian,2,0.25,-,1,1,-,-,6,0.75,2,3,-,1,-,8,2,4,1,1,-,1998
362,Latin,15,0.5,3,4,5,1,1,15,0.5,5,7,2,1,-,30,8,11,7,2,1,1998
363,Russian,-,0,-,-,-,-,-,2,1,2,-,-,-,-,2,2,-,-,-,-,1998
364,Spanish,13,0.265306122,2,4,6,1,-,36,0.734693878,9,14,12,1,-,49,11,18,18,2,-,1998
365,Accounting and Finance,12,0.352941176,1,4,2,4,1,22,0.647058824,6,5,9,2,-,34,7,9,11,6,1,1998
366,Mathematics I,1432,0.620719549,227,275,390,275,160,875,0.379280451,145,233,251,149,71,2307,372,508,641,424,231,1998
367,Mathematics II,133,0.636363636,42,19,33,18,21,76,0.363636364,15,20,23,9,9,209,57,39,56,27,30,1998
368,Mathematics III,226,0.538095238,55,46,61,32,32,194,0.461904762,49,42,50,27,26,420,104,88,111,59,58,1998
369,Mathematics IV,30,0.731707317,8,8,5,5,4,11,0.268292683,2,5,3,1,-,41,10,13,8,6,4,1998
370,Mathematics V,97,0.808333333,23,14,29,12,18,23,0.191666667,5,10,3,2,3,120,28,24,32,14,21,1998
371,Biology,359,0.292107404,52,85,121,59,42,870,0.707892596,152,267,319,97,35,1229,204,352,440,156,77,1998
372,Chemistry,850,0.476724621,164,203,302,133,46,933,0.523275379,181,262,329,121,40,1783,345,465,631,254,86,1998
373,Physics,777,0.780120482,116,116,262,143,130,219,0.219879518,39,41,72,48,19,996,155,157,334,191,149,1998
374,Classical Studies,6,0.5,2,3,1,-,-,6,0.5,4,1,1,-,-,12,6,4,2,-,-,1998
375,Economics,29,0.630434783,3,12,8,5,1,17,0.369565217,5,4,8,-,-,46,8,16,16,5,1,1998
376,Geography,206,0.475750577,11,67,100,25,-,227,0.524249423,26,100,86,14,-,433,37,167,186,39,-,1998
377,History,245,0.402298851,28,72,96,41,8,364,0.597701149,32,120,140,62,10,609,60,192,236,103,18,1998
378,Modern Studies,121,0.34084507,16,48,44,10,3,234,0.65915493,25,107,79,18,5,355,41,155,123,28,8,1998
379,Computing Studies,198,0.849785408,26,46,86,38,2,35,0.150214592,4,8,18,5,-,233,30,54,104,43,2,1998
380,Management and Information Studies,1,0.25,-,-,-,1,-,3,0.75,-,1,1,1,-,4,-,1,1,2,-,1998
381,Technological Studies,17,0.80952381,5,8,3,1,-,4,0.19047619,2,-,2,-,-,21,7,8,5,1,-,1998
382,Art and Design (Enquiry),270,0.304054054,31,48,95,75,20,618,0.695945946,83,124,242,150,19,888,114,172,337,225,39,1998
383,Art and Design (Research and Appreciation),10,0.256410256,1,4,3,2,-,29,0.743589744,3,10,9,7,-,39,4,14,12,9,-,1998
384,Music,149,0.347319347,68,40,39,1,1,280,0.652680653,103,83,84,5,5,429,171,123,123,6,6,1998
385,Religious Studies,6,0.4,2,1,1,2,-,9,0.6,-,2,4,3,-,15,2,3,5,5,-,1998
386,Classical Greek,-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,1999
387,English,514,0.321049344,71,158,215,57,11,1087,0.678950656,126,388,461,87,14,1601,197,546,676,144,25,1999
388,French,91,0.201327434,12,23,38,11,6,361,0.798672566,41,99,150,51,20,452,53,122,188,62,26,1999
389,Gaidhlig,4,0.2,1,3,-,-,-,16,0.8,3,10,2,1,-,20,4,13,2,1,-,1999
390,German,37,0.201086957,15,9,12,1,-,147,0.798913043,27,50,66,2,1,184,42,59,78,3,1,1999
391,Italian,1,0.125,1,-,-,-,-,7,0.875,2,4,1,-,-,8,3,4,1,-,-,1999
392,Latin,10,0.384615385,2,4,2,1,1,16,0.615384615,6,6,4,-,-,26,8,10,6,1,1,1999
393,Russian,1,0.5,1,-,-,-,-,1,0.5,1,-,-,-,-,2,2,-,-,-,-,1999
394,Spanish,7,0.08974359,2,4,1,-,-,71,0.91025641,8,33,28,2,-,78,10,37,29,2,-,1999
395,Accounting and Finance,17,0.62962963,-,2,4,4,7,10,0.37037037,1,3,4,2,-,27,1,5,8,6,7,1999
396,Mathematics I,1530,0.623980424,256,297,437,290,175,922,0.376019576,141,256,283,142,80,2452,397,553,720,432,255,1999
397,Mathematics II,145,0.668202765,40,30,37,15,23,72,0.331797235,12,17,21,8,12,217,52,47,58,23,35,1999
398,Mathematics III,218,0.575197889,53,40,53,30,41,161,0.424802111,33,44,46,23,14,379,86,84,99,53,55,1999
399,Mathematics IV,35,0.760869565,13,5,7,3,6,11,0.239130435,1,2,5,3,-,46,14,7,12,6,6,1999
400,Mathematics V,119,0.804054054,28,19,35,17,19,29,0.195945946,6,11,5,2,4,148,34,30,40,19,23,1999
401,Biology,351,0.27572663,60,76,103,67,44,922,0.72427337,145,299,337,97,39,1273,205,375,440,164,83,1999
402,Chemistry,861,0.499419954,167,222,291,120,54,863,0.500580046,160,240,308,121,32,1724,327,462,599,241,86,1999
403,Physics,871,0.800551471,136,167,267,168,124,217,0.199448529,34,46,75,36,25,1088,170,213,342,204,149,1999
404,Classical Studies,5,0.454545455,1,2,2,-,-,6,0.545454545,4,2,-,-,-,11,5,4,2,-,-,1999
405,Economics,32,0.8,6,11,11,2,1,8,0.2,1,4,2,1,-,40,7,15,13,3,1,1999
406,Geography,246,0.525641026,21,86,114,14,-,222,0.474358974,23,102,86,9,-,468,44,188,200,23,-,1999
407,History,258,0.414125201,26,77,110,38,7,365,0.585874799,38,135,139,45,7,623,64,212,249,83,14,1999
408,Modern Studies,119,0.294554455,13,49,40,15,1,285,0.705445545,30,109,110,35,1,404,43,158,150,50,2,1999
409,Computing Studies,252,0.831683168,34,63,95,50,7,51,0.168316832,5,15,23,8,-,303,39,78,118,58,7,1999
410,Management and Information Studies,-,0,-,-,-,-,-,1,1,-,-,1,-,-,1,-,-,1,-,-,1999
411,Technological Studies,28,0.933333333,10,9,8,-,-,2,0.066666667,1,-,-,-,-,30,11,9,8,-,-,1999
412,Art and Design (Enquiry),287,0.305319149,30,61,89,84,22,653,0.694680851,79,124,217,176,57,940,109,185,306,260,79,1999
413,Art and Design (Research and Appreciation),8,0.163265306,1,1,6,-,-,41,0.836734694,3,10,22,6,-,49,4,11,28,6,-,1999
414,Music,163,0.325349301,66,37,43,7,4,338,0.674650699,126,96,99,10,1,501,192,133,142,17,5,1999
415,Religious Studies,2,0.166666667,-,-,1,-,1,10,0.833333333,1,4,3,1,1,12,1,4,4,1,2,1999
416,Classical Greek,-,0,-,-,-,-,-,1,1,1,-,-,-,-,1,1,0,-,-,-,2000
417,English,504,0.313043478,69,149,202,63,10,-,0.686956522,-,-,-,-,20,1610,193,539,-,-,30,2000
418,French,83,0.202439024,13,22,38,8,1,-,0.797560976,43,-,-,42,17,410,56,114,-,50,18,2000
419,Gaidhlig,5,0.3125,0,4,1,0,0,11,0.6875,2,4,5,-,-,16,2,8,6,-,-,2000
420,German,30,0.202702703,14,3,9,3,0,-,0.797297297,33,-,50,-,1,148,47,37,59,3,1,2000
421,Italian,3,0.3,1,1,1,0,0,7,0.7,6,1,-,-,-,10,7,2,1,-,-,2000
422,Latin,11,0.314285714,6,1,3,1,0,24,0.685714286,10,11,2,1,-,35,16,12,5,2,-,2000
423,Spanish,14,0.179487179,2,9,3,0,0,-,0.820512821,12,31,17,4,-,78,14,40,20,4,-,2000
424,Accounting and Finance,11,0.578947368,3,3,4,1,0,8,0.421052632,3,2,1,2,-,19,6,5,5,3,-,2000
425,Mathematics I,1500,0.619578686,258,315,400,285,126,-,0.380421314,161,-,273,-,-,2421,-,554,-,-,-,2000
426,Mathematics II,133,0.68556701,33,31,31,17,19,61,0.31443299,13,17,-,6,6,194,46,48,-,23,25,2000
427,Mathematics III,217,0.535802469,58,49,50,29,29,188,0.464197531,44,53,60,20,11,405,-,102,110,49,40,2000
428,Mathematics IV,32,0.64,12,2,9,5,4,18,0.36,5,5,5,2,1,50,17,7,14,7,5,2000
429,Mathematics V,125,0.82781457,34,24,32,12,21,26,0.17218543,7,6,6,4,2,151,41,30,-,16,23,2000
430,Biology,381,0.303102625,55,90,138,52,41,-,0.696897375,-,-,-,102,33,1257,-,341,440,-,74,2000
431,Chemistry,749,0.480128205,147,193,255,100,48,-,0.519871795,-,-,-,-,25,1560,-,436,-,-,-,2000
432,Physics,862,0.780090498,119,134,264,192,142,-,0.219909502,44,47,86,46,19,1105,-,181,-,-,-,2000
433,Classical Studies,7,0.583333333,4,2,1,0,0,5,0.416666667,2,3,-,-,-,12,6,5,1,-,-,2000
434,Economics,35,0.673076923,7,8,14,4,1,17,0.326923077,6,4,6,1,-,52,13,12,20,5,1,2000
435,Geography,216,0.460554371,21,70,107,11,0,-,0.539445629,20,113,-,6,-,469,41,183,219,17,-,2000
436,History,278,0.435736677,31,105,106,28,6,-,0.564263323,38,131,-,-,11,638,69,236,244,69,17,2000
437,Modern Studies,146,0.331818182,19,59,57,7,4,-,0.668181818,-,135,99,8,-,440,69,194,-,15,4,2000
438,Religious Studies,2,0.117647059,0,2,0,0,0,15,0.882352941,1,4,8,2,-,17,1,6,8,2,-,2000
439,Computing Studies,268,0.890365449,36,62,108,53,6,-,0.109634551,3,7,18,5,-,301,39,69,-,58,6,2000
440,Technological Studies,23,0.958333333,10,5,8,0,0,1,0.041666667,-,1,-,-,-,24,10,6,8,-,-,2000
441,Art and Design (Enquiry),293,0.288954635,42,48,90,91,22,-,0.711045365,79,-,255,-,33,1014,-,195,-,-,55,2000
442,Art and Design (Research and Appreciation),9,0.209302326,0,1,5,3,0,34,0.790697674,4,7,-,4,-,43,4,8,24,7,-,2000
443,Music,183,0.348571429,72,51,55,3,2,-,0.651428571,-,120,99,7,-,525,-,171,154,10,2,2000
444,English,319,0.315217391,32,90,144,40,9,-,0.684782609,96,233,-,51,7,1012,-,31.91699605,-,-,-,2001
445,French,35,0.2,6,15,8,2,4,-,0.8,18,41,60,-,5,175,-,32,-,-,-,2001
446,GÃ idhlig,2,0.222222222,0,1,1,0,0,7,0.777777778,2,3,2,-,-,9,-,44.44444444,-,-,-,2001
447,German,17,0.22972973,6,4,7,0,0,-,0.77027027,14,15,25,2,1,74,-,25.67567568,-,-,-,2001
448,Italian,-,0,-,-,-,-,-,2,1,-,2,-,-,-,2,-,100,-,-,-,2001
449,Latin,7,0.583333333,3,2,2,0,0,5,0.416666667,2,2,1,-,-,12,-,33.33333333,25,-,-,2001
450,Russian,1,0.333333333,0,1,0,0,0,2,0.666666667,2,-,-,-,-,3,-,33.33333333,-,-,-,2001
451,Spanish,15,0.326086957,5,2,6,1,0,31,0.673913043,6,-,8,1,-,46,-,39.13043478,-,-,-,2001
452,Accounting and Finance,5,0.625,2,3,0,0,0,3,0.375,2,-,1,-,-,8,-,37.5,-,-,-,2001
453,Mathematics I,894,0.637205987,144,202,236,157,109,-,0.362794013,70,-,162,88,-,1403,-,23.30719886,-,-,-,2001
454,Mathematics II,43,0.671875,12,7,12,8,4,21,0.328125,3,6,8,1,3,64,-,20.3125,-,-,-,2001
455,Mathematics III,118,0.564593301,25,22,31,15,23,-,0.435406699,17,20,25,14,15,209,-,20.09569378,-,-,-,2001
456,Mathematics IV,5,0.833333333,0,1,3,1,0,1,0.166666667,1,-,-,-,-,6,-,16.66666667,-,-,-,2001
457,Mathematics V,64,0.820512821,23,11,16,4,7,14,0.179487179,7,4,-,-,3,78,-,19.23076923,-,-,-,2001
458,Biology,267,0.278996865,42,59,96,40,26,-,0.721003135,-,-,246,-,22,957,-,27.89968652,-,-,-,2001
459,Chemistry,501,0.467787115,105,113,172,66,40,-,0.532212885,-,-,-,91,22,1071,-,25.77030812,-,-,-,2001
460,Physics,199,0.836134454,29,33,60,39,36,39,0.163865546,6,3,18,8,4,238,-,15.12605042,-,-,-,2001
461,Classical Studies,3,0.375,1,1,1,0,0,5,0.625,4,1,-,-,-,8,-,25,-,-,-,2001
462,Economics,19,0.863636364,5,2,7,1,3,3,0.136363636,-,1,1,1,-,22,-,13.63636364,-,-,-,2001
463,Geography,161,0.473529412,6,61,74,14,0,-,0.526470588,20,-,69,4,-,340,-,42.05882353,-,-,-,2001
464,History,142,0.452229299,7,51,57,20,5,172,0.547770701,17,-,60,19,5,314,-,38.21656051,-,-,-,2001
465,Modern Studies,92,0.381742739,16,39,34,3,0,-,0.618257261,25,-,43,5,-,241,-,47.71784232,-,-,-,2001
466,Religious Studies,1,0.111111111,0,0,1,0,0,8,0.888888889,-,2,5,-,1,9,-,22.22222222,-,-,-,2001
467,Computing Studies,167,0.907608696,22,38,69,34,4,17,0.092391304,3,3,9,2,-,184,-,22.2826087,-,-,-,2001
468,Technological Studies,14,0.875,10,2,1,1,0,2,0.125,-,-,1,-,-,16,-,12.5,-,-,-,2001
469,Art and Design (Enquiry),222,0.296395194,21,40,78,65,16,-,0.703604806,63,86,-,-,19,749,-,16.82242991,-,-,-,2001
470,Art and Design (Research and Appreciation),4,0.133333333,0,2,2,0,0,26,0.866666667,2,7,15,2,-,30,-,30,-,-,-,2001
471,Music,138,0.349367089,51,43,36,3,0,-,0.650632911,84,68,93,8,1,395,-,28.10126582,-,-,-,2001
472,English,-,0.31,18,44,61,7,0,-,0.69,36,120,-,19,2,423,54,164,-,26,2,2002
